code,title
000,UMUM
000.1,KETATAUSAHAAN DAN KERUMAHTANGGAAN
000.1.1,Telekomunikasi
000.1.10,Ketertiban dan Keamanan
000.1.10.1,"Pengamanan, Penjagaan, dan Pengawalan terhadap Pejabat, Kantor dan Rumah Dinas"
000.1.10.2,Laporan Ketertiban dan Keamanan
000.1.11,Administrasi Pengelolaan Parkir
000.1.12,"Administrasi Pakaian Dinas Pegawai, Satpam, Petugas Kebersihan dan Pegawai lainnya"
000.1.2,Perjalanan Dinas Dalam Negeri
000.1.2.1,Perjalanan Dinas Kepala Daerah
000.1.2.2,Perjalanan Dinas DPRD
000.1.2.3,Perjalanan Dinas Pegawai
000.1.3,Perjalanan Dinas Luar Negeri
000.1.3.1,Perjalanan Dinas Kepala Daerah
000.1.3.2,Perjalanan Dinas DPRD
000.1.3.3,Perjalanan Dinas Pegawai
000.1.4,"Penggunaan Fasilitas Kantor (antara lain: permintaan
dan penggunaan ruang, gedung, kendaraan, wisma,
rumah dinas dan fasilitas kantor lainnya)"
000.1.5,Rapat pimpinan antara lain: Notula/Risalah Rapat
000.1.6,Penyediaan Konsumsi
000.1.7,Pengurusan Kendaraan Dinas
000.1.7.1,Pengurusan surat-surat kendaraan dinas
000.1.7.2,Pemeliharaan dan perbaikan
000.1.7.3,Pengurusan kehilangan dan masalah kendaraan
000.1.8,"Pemeliharaan Gedung, Taman, dan Peralatan Kantor"
000.1.8.1,Pertamanan/Landscape
000.1.8.2,Penghijauan
000.1.8.3,Perbaikan Gedung
000.1.8.4,Perbaikan Peralatan Kantor
000.1.8.5,Perbaikan Rumah Dinas/Wisma
000.1.8.6,Kebersihan Gedung dan Taman
000.1.9,"Pengelolaan Jaringan Listri, Air, Telepon, dan Komputer"
000.1.9.1,Perbaikan/Pemeliharaan
000.1.9.2,Pemasangan
000.2,PERLENGKAPAN
000.2.1,Investarisasi dan Penyimpanan
000.2.1.1,Data hasil inventarisasi dan penyimpanan
000.2.1.2,Laporan dan evaluasi inventarisasi dan penyimpanan
000.2.2,Pemeliharaan peralatan kantor
000.2.2.1,Data hasil pemeliharaan kantor
000.2.2.2,Laporan dan evaluasi pemeliharaan kantor
000.2.3,Distribusi
000.2.3.1,Barang habis pakai
000.2.3.2,Barang milik daerah
000.2.4,"Penghapusan Barang Milik Daerah antara lain: Keputusan Pembentukan Tim, Berita Acara Penghapusan Barang Milik Daerah, Daftar Barang yang dihapuskan, Laporan Hasil Pelaksanaan Penghapusan BMD termasuk didalamnya proses lelang penghapusan"
000.2.5,Pengelolaan Database Barang Milik Daerah
000.3,PENGADAAN
000.3.1,"Rencana pengadaan Barang dan jasa (antara lain: Identifikasi dan analisis kebutuhan barang/jasa, penyusunan dan penetapan rencana penganggaran pengadaan, penetapan kebijakan umum, penyusunan kerangka Acuan Kerja (KAK), Pengumuman Rencana Umum Pengadaan)"
000.3.2,"Pengadaan Langsung (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak)"
000.3.3,"Pengadaan Tidak Langsung/Lelang (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak)"
000.3.4,"Swakelola (antara lain: perencanaan, pelaksanaan dan evaluasi)"
000.3.5,"Pengolahan Sistem Informasi Pengadaan antara lain: Data base pengguna sistem informasi pengadaan barang/jasa, Data Base kontrak, Data Base Pengadaan Barang/jasa"
000.3.6,"Monitoring dan evaluasi pelaksanaan kebijakan dan pelaksanaan pengadaan antara lain: Laporan Hasil Monitoring, Laporan hasil evaluasi"
000.4,PERPUSTAKAAN
000.4.1,Kebijakan di bidang Perpustakaan yang dilakukan oleh Pemerintah Daerah
000.4.10,Konservasi
000.4.10.1,Perawatan Bahan Perpustakaan
000.4.10.2,Perbaikan Bahan Perpustakaan
000.4.10.3,Penjilidan Bahan Perpustakaan
000.4.11,"Reprografi (Mikrofilm, Reproduksi Foto)"
000.4.12,Transformasi Digital
000.4.13,Kurasi Digital
000.4.14,Pengembangan Perpustakaan
000.4.14.1,Perpustakaan Umum
000.4.14.2,Perpustakaan Khusus
000.4.14.3,Perpustakaan Sekolah
000.4.14.4,Perpustakaan Perguruan Tinggi
000.4.2,Deposit Bahan Pustaka
000.4.2.1,Serah Simpan Karya Cetak dan Karya Rekam
000.4.2.2,Pangkalan Data Penerbit dan Pengusaha Rekaman
000.4.2.3,Terbitan Internasional dan Regional
000.4.2.4,Pemantauan Wajib Serah Simpan Karya Cetak dan Karya Rekam
000.4.2.5,Bibliografi dan Katalog
000.4.3,Koleksi Pustaka
000.4.3.1,Pembelian
000.4.3.2,Hibah
000.4.3.3,Hadiah
000.4.3.4,Tukar Menukar
000.4.3.5,Implementasi Undang-Undang KCKR
000.4.3.6,Terbitan Internal
000.4.3.7,Pendistribusian bahan pustaka surplus
000.4.3.8,Investarisasi koleksi (Buku Induk)
000.4.4,Pengolahan Bahan Pustaka
000.4.5,Pangkalan Data Katalog Koleksi
000.4.6,Layanan Perpustakaan
000.4.6.1,Keanggotaan
000.4.6.2,Peminjaman
000.4.6.3,Pengembangan gemar baca
000.4.7,Kerjasama Perpustakaan
000.4.7.1,MoU
000.4.7.2,Perjanjian kerjasama
000.4.7.3,Partisipasi organisasi profesi dan kerjasama internasional
000.4.8,Pengembangan Implementasi Teknologi Informasi Perpustakaan
000.4.8.1,Pengembangan situs web
000.4.8.2,Pengembangan kemas ulang informasi multimedia
000.4.8.3,Pengembangan program aplikasi perpustakaan
000.4.8.4,Pengembangan pangkalan data kepustakaan digital
000.4.9,Pangkalan Data Layanan Perpustakaan
000.5,KEARSIPAN
000.5.1,Kebijakan di bidang kearsipan yang dilakukan oleh Pemerintah Daerah
000.5.10,"Jasa Kearsipan (antara lain konsultasi kearsipan, manual kearsipan, penataan arsip, otomasi kearsipan, penyimpanan arsip, perawatan dan pemeliharaan arsip)"
000.5.11,Pengelolaan SIKN dan JIKN
000.5.12,Pelindungan dan penyelamatan arsip akibat bencana
000.5.13,Penyelamatan arsip Perangkat Daerah digabung dan / atau dibubarkan
000.5.14,Penerbitan izin penggunaan arsip yang bersifat tertutup
000.5.15,Pengawasan Kearsipan
000.5.15.1,Pengawasan Kearsipan Internal
000.5.15.2,Pengawasan Kearsipan Eksternal
000.5.15.3,Sanksi
000.5.2,Pembinaan Kearsipan
000.5.2.1,"Pengembangan Profesi Arsiparis, antara lain Formasi Jabatan Arsiparis, Analisis Kebutuhan Arsiparis"
000.5.2.10,"Lembaga/Unit Kearsipan Teladan, antara lain: Berkas Penyelenggaraan Pemilihan Lembaga/Unit Kearsipan, Berkas Penetapan Lembaga/Unit Kearsipan Teladan"
000.5.2.11,"Jadwal Retensi Arsip, antara lain: Berkas Usulan Persetujuan JRA, Surat Persetujuan JRA dari Kepala ANRI"
000.5.2.2,Bimbingan Konsultasi Arsiparis
000.5.2.3,Penilaian Arsiparis
000.5.2.4,"Pemilihan Berkas Arsiparis Arsiparis Teladan, Penyelenggaraan Teladan, Berkas antara lain Pemilihan Penetapan Arsiparis Teladan"
000.5.2.5,Data Base Arsiparis
000.5.2.6,Bimbingan Konsultasi Kearsipan
000.5.2.7,"Supervisi dan Evaluasi, antara lain: Perencanaan Pelaksanaan Supervisi dan Evaluasi, Laporan Hasil Supervisi dan Evaluasi"
000.5.2.8,Data Base Bimbingan dan Konsultasi dan Supervisi
000.5.2.9,"Fasilitasi Kearsipan, antara lain: Fasilitasi SDM Kearsipan, Fasilitasi Prasarana dan Sarana Kearsipan"
000.5.3,Pengelolaan Arsip Dinamis
000.5.3.1,"Penciptaan (antara lain: Buku Registrasi Naskah Masuk dan Keluar, Buku Agenda, Kartu Kendali, Lembar Pengantar/Buku Ekspedisi)"
000.5.3.2,Pemberkasan Arsip Aktif (antara lain: daftar berkas dan daftar isi berkas)
